year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,brands,car_names,variants,insurance
2014,450000,145500,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5.0,Maruti,Swift,Dzire VDI,Comprehensive
2014,370000,120000,Diesel,Individual,Manual,Second Owner,21.14 kmpl,1498 CC,103.52 bhp,5.0,Skoda,Rapid,1.5 TDI Ambition,Third Party
2006,158000,140000,Petrol,Individual,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,5.0,Honda,City,2017-2020 EXi,Comprehensive
2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,5.0,Hyundai,i20,Sportz Diesel,Comprehensive
2007,130000,120000,Petrol,Individual,Manual,First Owner,16.1 kmpl,1298 CC,88.2 bhp,5.0,Maruti,Swift,VXI BSIII,Third Party
2017,440000,45000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,5.0,Hyundai,Xcent,1.2 VTVT E Plus,Comprehensive
2007,96000,175000,LPG,Individual,Manual,First Owner,17.3 km/kg,1061 CC,57.5 bhp,5.0,Maruti,Wagon,R LXI DUO BSIII,Third Party
2001,45000,5000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4.0,Maruti,800,DX BSII,Comprehensive
2011,350000,90000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.1 bhp,5.0,Toyota,Etios,VXD,Comprehensive
2013,200000,169000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68.1 bhp,5.0,Ford,Figo,Diesel Celebration Edition,Third Party
2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,5.0,Renault,Duster,110PS Diesel RxL,Comprehensive
2005,92000,100000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,5.0,Maruti,Zen,LX,Third Party
2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0,Maruti,Swift,Dzire VDi,Comprehensive
2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,5.0,Maruti,Wagon,R LXI Minor,Comprehensive
2016,400000,40000,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,5.0,Mahindra,KUV,100 mFALCON G80 K8 5str,Third Party
2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,7.0,Maruti,Ertiga,SHVS VDI,Comprehensive
2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,5.0,Hyundai,i20,1.4 CRDi Asta,Third Party
2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,Maruti,Alto,LX,Comprehensive
2016,680000,100000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0,Hyundai,i20,2015-2017 Asta 1.4 CRDi,Comprehensive
2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0 kmpl,1461 CC,64.1 bhp,5.0,Mahindra,Verito,1.5 D4 BSIII,Third Party
2017,950000,50000,Diesel,Individual,Manual,First Owner,25.5 kmpl,1498 CC,98.6 bhp,5.0,Honda,WR-V,i-DTEC VX,Comprehensive
2015,525000,40000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5.0,Maruti,Swift,Dzire ZDI,Third Party
2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5 kmpl,1248 CC,88.8 bhp,5.0,Maruti,SX4,ZDI,Comprehensive
2018,500000,35000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,83.81 bhp,5.0,Tata,Tigor,2017-2020 XZ,Comprehensive
2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5.0,Maruti,Baleno,Delta 1.2,Third Party
2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5.0,Maruti,Alto,800 LXI,Comprehensive
2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2 kmpl,1248 CC,73.8 bhp,7.0,Chevrolet,Enjoy,TCDi LTZ 7 Seater,Third Party
2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,5.0,Maruti,Wagon,R LXI Minor,Comprehensive
2018,254999,25000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,8.0,Maruti,Omni,E MPI STD BS IV,Comprehensive
2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0,Maruti,Vitara,Brezza LDi Option,Third Party
2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,796 CC,35 bhp,5.0,Maruti,Omni,8 Seater BSIV,Comprehensive
2018,730000,2388,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0,Hyundai,i20,1.2 Asta Dual Tone,Third Party
2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0,Maruti,Vitara,Brezza LDi,Comprehensive
2019,330000,10000,CNG,Individual,Manual,Second Owner,33.44 km/kg,796 CC,40.3 bhp,4.0,Maruti,Alto,800 CNG LXI Optional,Comprehensive
2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.1 bhp,5.0,Maruti,Alto,K10 VXI Airbag,Third Party
2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,5.0,Hyundai,Verna,VTVT 1.6 SX Option,Comprehensive
2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,5.0,Datsun,GO,D,Third Party
2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,7.0,Tata,Safari,DICOR 2.2 LX 4x2,Comprehensive
2012,150000,76000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4.0,Maruti,800,Std,Comprehensive
2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0 kmpl,1368 CC,160.77 bhp,5.0,Jeep,Compass,1.4 Limited Plus BSIV,Third Party
2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,5.0,Honda,City,i VTEC VX,Comprehensive
2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,5.0,Honda,City,V MT,Third Party
2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5 kmpl,1197 CC,83.14 bhp,5.0,Maruti,Swift,Dzire VXi AT,Comprehensive
2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0,Maruti,Vitara,Brezza VDi,Comprehensive
2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5.0,Maruti,Alto,K10 VXI,Third Party
2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55 kmpl,2982 CC,168.5 bhp,7.0,Toyota,Fortuner,4x4 MT,Comprehensive
2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,7.0,Toyota,Innova,2.5 G (Diesel) 7 Seater BS IV,Third Party
2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8 kmpl,2143 CC,120.7 bhp,5.0,Mercedes-Benz,B,Class B180,Comprehensive
2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7 kmpl,1498 CC,98.63 bhp,5.0,Honda,Amaze,S Diesel,Comprehensive
2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,7.0,Mitsubishi,Pajero,Sport 4X4,Third Party
2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,5.0,Honda,City,i DTEC S,Comprehensive
2018,850000,64000,Petrol,Dealer,Manual,First Owner,20.65 kmpl,1462 CC,103.25 bhp,5.0,Maruti,Ciaz,Zeta,Third Party
2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,5.0,Honda,Jazz,VX Diesel,Comprehensive
2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,7.0,Toyota,Innova,Crysta 2.8 ZX AT BSIV,Comprehensive
2016,950000,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,7.0,Toyota,Innova,2.5 G (Diesel) 7 Seater,Third Party
2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68 kmpl,1968 CC,174.33 bhp,5.0,Audi,A6,2.0 TDI Technology,Comprehensive
2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,5.0,Toyota,Corolla,Altis 1.8 VL CVT,Third Party
2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53 kmpl,1968 CC,187.74 bhp,5.0,Audi,A6,2.0 TDI  Design Edition,Comprehensive
2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,5.0,Mercedes-Benz,New,C-Class 220 CDI AT,Comprehensive
2011,265000,120000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,5.0,Tata,Manza,ELAN Quadrajet BS IV,Third Party
2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0,Hyundai,i10,Magna,Comprehensive
2013,425000,60000,Diesel,Individual,Manual,First Owner,21.27 kmpl,1396 CC,88.76 bhp,5.0,Hyundai,i20,Asta 1.4 CRDi,Third Party
